chip,parcel_id,interior_px,full_px,interior_ha,full_ha,full_native_px,bbox_h,bbox_w,row_min,col_min,touches_edge
g13_00003_13.tif,6324653,2,12,0.00343,0.02055,2.06,4,5,43,166,0
g13_00003_13.tif,6524321,114,238,0.19526,0.40766,40.77,21,31,176,204,0
g13_00003_13.tif,6524323,42,74,0.07194,0.12675,12.68,6,16,180,186,0
g13_00003_13.tif,6524324,3,7,0.00514,0.01199,1.2,3,3,185,224,0
g13_00003_13.tif,6524325,73,115,0.12504,0.19698,19.7,13,16,193,219,0
g13_00003_13.tif,6737065,112,155,0.19184,0.26549,26.55,20,17,236,0,1
g13_00003_13.tif,6737066,33,62,0.05652,0.1062,10.62,11,11,234,4,0
g13_00003_14.tif,6145881,29,47,0.04967,0.0805,8.05,13,5,92,251,1
g13_00003_14.tif,6145882,655,769,1.12192,1.31718,131.72,32,39,90,217,1
g13_00003_14.tif,6145886,1,5,0.00171,0.00856,0.86,3,2,75,254,1
g13_00003_14.tif,6145887,7,17,0.01199,0.02912,2.91,8,3,83,253,1
g13_00003_14.tif,6145890,78,113,0.1336,0.19355,19.36,9,19,108,203,0
g13_00003_14.tif,6145891,50,94,0.08564,0.16101,16.1,11,18,101,214,0
g13_00003_14.tif,6145892,111,157,0.19013,0.26892,26.89,14,21,123,197,0
g13_00003_14.tif,6145893,50,95,0.08564,0.16272,16.27,6,23,118,194,0
g13_00003_14.tif,6199100,35,52,0.05995,0.08907,8.91,16,6,30,250,1
g13_00003_14.tif,6394110,12,32,0.02055,0.05481,5.48,8,9,228,247,1
g13_00003_14.tif,6446137,14,31,0.02398,0.0531,5.31,6,10,0,231,1
g13_00003_14.tif,6537426,10,24,0.01713,0.04111,4.11,7,7,93,161,0
g13_00003_14.tif,6560698,259,325,0.44363,0.55668,55.67,15,32,167,203,0
g13_00003_14.tif,6560699,134,180,0.22952,0.30831,30.83,15,23,173,218,0
g13_00003_14.tif,6774220,5,25,0.00856,0.04282,4.28,5,11,243,214,0
g13_00003_14.tif,6774225,6,28,0.01028,0.04796,4.8,6,8,230,232,0
g13_00003_14.tif,6872553,227,315,0.38882,0.53955,53.95,18,35,168,174,0
g13_00003_14.tif,7019528,4,14,0.00685,0.02398,2.4,4,6,153,20,0
g13_00003_14.tif,7019531,104,150,0.17814,0.25693,25.69,17,14,151,5,0
g13_00003_15.tif,6145881,7,20,0.01199,0.03426,3.43,11,4,92,0,1
g13_00003_15.tif,6145882,45,69,0.07708,0.11819,11.82,15,7,102,0,1
g13_00003_15.tif,6145886,19,37,0.03254,0.06338,6.34,8,8,71,0,1
g13_00003_15.tif,6145887,60,112,0.10277,0.19184,19.18,17,11,80,0,1
g13_00003_15.tif,6145888,9,15,0.01542,0.02569,2.57,5,5,85,1,0
g13_00003_15.tif,6199100,316,378,0.54126,0.64746,64.75,28,31,16,0,1
g13_00003_15.tif,6199197,315,365,0.53955,0.62519,62.52,28,34,25,0,1
g13_00003_15.tif,6365351,213,284,0.36484,0.48645,48.64,18,37,125,138,0
g13_00003_15.tif,6394110,80,144,0.13703,0.24665,24.67,13,23,225,0,1
g13_00003_15.tif,6394111,695,860,1.19043,1.47305,147.31,28,69,213,12,0
g13_00003_15.tif,6537423,61,105,0.10448,0.17985,17.98,8,22,101,57,0
g13_00003_15.tif,6537424,280,358,0.4796,0.6132,61.32,15,35,108,60,0
g13_00003_15.tif,6537431,87,128,0.14902,0.21924,21.92,17,11,86,49,0
g13_00003_15.tif,6558150,13,22,0.02227,0.03768,3.77,3,10,253,130,1
g13_00003_15.tif,6558152,3,6,0.00514,0.01028,1.03,3,3,253,139,1
g13_00003_15.tif,6558153,72,125,0.12333,0.21411,21.41,13,18,241,125,0
g13_00003_15.tif,6596410,16,37,0.02741,0.06338,6.34,7,12,229,199,0
g13_00003_15.tif,6596412,541,642,0.92665,1.09965,109.96,27,44,209,184,0
g13_00003_15.tif,6661654,8,22,0.0137,0.03768,3.77,5,6,192,133,0
g13_00003_15.tif,6695630,399,482,0.68343,0.82559,82.56,34,19,120,66,0
g13_00003_15.tif,6706952,401,475,0.68685,0.8136,81.36,25,32,223,46,0
g13_00003_15.tif,6706997,1284,1466,2.1993,2.51104,251.1,53,42,24,134,0
g13_00003_15.tif,6706999,805,1001,1.37884,1.71456,171.46,34,49,0,159,1
g13_00003_15.tif,6707004,80,109,0.13703,0.1867,18.67,14,18,0,140,1
g13_00003_15.tif,6712808,86,121,0.14731,0.20725,20.73,13,17,103,170,0
g13_00003_15.tif,6810319,9,22,0.01542,0.03768,3.77,7,5,123,123,0
g13_00003_15.tif,6810322,242,299,0.41451,0.51214,51.21,23,22,114,96,0
g13_00003_15.tif,6810395,5,17,0.00856,0.02912,2.91,5,7,138,105,0
g13_00003_15.tif,6971501,254,322,0.43506,0.55154,55.15,29,22,3,100,0
g13_00003_15.tif,6971505,194,265,0.33229,0.45391,45.39,20,29,6,112,0
g13_00003_15.tif,6980796,407,491,0.69713,0.84101,84.1,28,32,149,80,0
g13_00003_15.tif,6980815,21,48,0.03597,0.08222,8.22,6,14,161,74,0
g13_00003_15.tif,6981375,167,222,0.28605,0.38025,38.03,19,18,8,78,0
g13_00003_15.tif,6981407,136,175,0.23295,0.29975,29.97,15,15,25,76,0
g13_00003_15.tif,6981525,92,127,0.15758,0.21753,21.75,18,10,10,91,0
g13_00003_15.tif,6981528,46,66,0.07879,0.11305,11.3,8,11,26,90,0
g13_00003_15.tif,6982120,6,15,0.01028,0.02569,2.57,6,4,157,107,0
g13_00003_16.tif,6114624,23,65,0.0394,0.11134,11.13,9,9,78,128,0
g13_00003_16.tif,6114625,71,123,0.12161,0.21068,21.07,15,18,111,134,0
g13_00003_16.tif,6284246,342,427,0.58579,0.73139,73.14,28,38,57,96,0
g13_00003_16.tif,6394123,41,92,0.07023,0.15758,15.76,14,17,49,21,0
g13_00003_16.tif,6394124,36,66,0.06166,0.11305,11.3,13,13,34,18,0
g13_00003_16.tif,6482561,500,586,0.85643,1.00373,100.37,22,44,207,48,0
g13_00003_16.tif,6562015,121,151,0.20725,0.25864,25.86,12,27,183,92,0
g13_00003_16.tif,6562016,184,306,0.31516,0.52413,52.41,18,41,166,84,0
g13_00003_16.tif,6562017,30,51,0.05139,0.08736,8.74,5,15,172,96,0
g13_00003_16.tif,6562018,133,169,0.22781,0.28947,28.95,9,30,178,87,0
g13_00003_16.tif,6581414,95,155,0.16272,0.26549,26.55,9,25,247,23,1
g13_00003_16.tif,6593364,214,293,0.36655,0.50187,50.19,16,40,106,20,0
g13_00003_16.tif,6593367,202,264,0.346,0.45219,45.22,16,30,240,145,1
g13_00003_16.tif,6593369,42,81,0.07194,0.13874,13.87,12,12,218,129,0
g13_00003_16.tif,6877432,1263,1469,2.16333,2.51618,251.62,38,82,123,147,0
g13_00003_16.tif,6877434,165,214,0.28262,0.36655,36.65,17,32,122,168,0
g13_00003_16.tif,7020407,145,213,0.24836,0.36484,36.48,24,21,188,59,0
g13_00003_16.tif,7020410,16,42,0.02741,0.07194,7.19,8,14,167,58,0
g13_00003_16.tif,7020411,4,19,0.00685,0.03254,3.25,5,12,165,55,0
g13_00003_16.tif,7020412,4,15,0.00685,0.02569,2.57,4,6,169,67,0
g13_00003_16.tif,7020414,8,24,0.0137,0.04111,4.11,5,7,165,50,0
g13_00003_17.tif,6098798,954,1065,1.63406,1.82419,182.42,20,74,0,88,1
g13_00003_17.tif,6098799,334,439,0.57209,0.75194,75.19,27,44,0,136,1
g13_00003_17.tif,6098800,55,90,0.09421,0.15416,15.42,13,13,0,179,1
g13_00003_17.tif,6133722,80,109,0.13703,0.1867,18.67,12,15,52,241,1
g13_00003_17.tif,6150752,6,19,0.01028,0.03254,3.25,5,6,214,93,0
g13_00003_17.tif,6953125,118,148,0.20212,0.2535,25.35,29,8,69,248,1
g13_00003_17.tif,6953139,547,677,0.93693,1.1596,115.96,30,39,74,121,0
g13_00003_17.tif,6953160,485,614,0.83073,1.05169,105.17,28,54,28,147,0
g13_00003_17.tif,6953162,140,181,0.2398,0.31003,31.0,19,13,23,199,0
g13_00003_17.tif,6953166,235,299,0.40252,0.51214,51.21,21,32,66,165,0
g13_00003_17.tif,6953167,203,265,0.34771,0.45391,45.39,19,33,53,193,0
g13_00003_17.tif,6954160,96,137,0.16443,0.23466,23.47,11,15,83,235,0
g13_00003_17.tif,6954189,59,84,0.10106,0.14388,14.39,8,14,93,237,0
g13_00003_17.tif,6972984,57,99,0.09763,0.16957,16.96,14,19,112,190,0
g13_00003_17.tif,6972985,130,181,0.22267,0.31003,31.0,14,16,126,216,0
g13_00003_17.tif,7004720,357,417,0.61149,0.71426,71.43,21,41,235,128,1
g13_00003_18.tif,6133722,333,406,0.57038,0.69542,69.54,19,36,46,0,1
g13_00003_18.tif,6146415,95,166,0.16272,0.28433,28.43,24,21,112,27,0
g13_00003_18.tif,6146416,69,110,0.11819,0.18841,18.84,14,14,122,59,0
g13_00003_18.tif,6224238,350,457,0.5995,0.78277,78.28,20,74,160,74,0
g13_00003_18.tif,6224239,6,36,0.01028,0.06166,6.17,4,13,159,112,0
g13_00003_18.tif,6224304,165,218,0.28262,0.3734,37.34,15,20,158,126,0
g13_00003_18.tif,6224344,72,141,0.12333,0.24151,24.15,7,34,173,99,0
g13_00003_18.tif,6224464,20,43,0.03426,0.07365,7.37,9,8,141,147,0
g13_00003_18.tif,6625264,448,547,0.76736,0.93693,93.69,39,26,140,162,0
g13_00003_18.tif,6736122,673,771,1.15275,1.32061,132.06,45,43,195,165,0
g13_00003_18.tif,6862344,429,474,0.73481,0.81189,81.19,15,45,241,211,1
g13_00003_18.tif,6862375,3619,3792,6.1988,6.49513,649.51,51,111,205,80,1
g13_00003_18.tif,6862397,1893,2053,3.24243,3.51648,351.65,52,77,178,179,1
g13_00003_18.tif,6862405,23,33,0.0394,0.05652,5.65,5,13,251,97,1
g13_00003_18.tif,6862407,1004,1111,1.7197,1.90298,190.3,19,88,237,17,1
g13_00003_18.tif,6862425,3,8,0.00514,0.0137,1.37,2,5,254,15,1
g13_00003_18.tif,6953125,1508,1649,2.58298,2.82449,282.45,55,46,66,0,1
g13_00003_18.tif,6953150,199,269,0.34086,0.46076,46.08,12,33,37,88,0
g13_00003_18.tif,6970149,753,864,1.28978,1.4799,147.99,32,42,135,39,0
g13_00003_2.tif,6573960,17,37,0.02912,0.06338,6.34,9,10,181,15,0
g13_00003_2.tif,6772524,133,210,0.22781,0.3597,35.97,28,18,193,72,0
g13_00003_5.tif,6878635,50,82,0.08564,0.14045,14.05,13,16,135,95,0
g13_00003_5.tif,7075566,18,42,0.03083,0.07194,7.19,5,10,250,50,0
g13_00003_5.tif,7075568,12,30,0.02055,0.05139,5.14,7,7,249,59,1
g13_00003_5.tif,7075569,103,168,0.17642,0.28776,28.78,14,23,233,34,0
g13_00003_6.tif,6516347,8,27,0.0137,0.04625,4.62,8,8,31,248,1
g13_00003_7.tif,6448645,5,18,0.00856,0.03083,3.08,4,7,194,13,0
g13_00003_7.tif,6513456,23,57,0.0394,0.09763,9.76,5,17,65,150,0
g13_00003_7.tif,6513458,13,29,0.02227,0.04967,4.97,6,9,79,145,0
g13_00003_7.tif,6516347,82,142,0.14045,0.24322,24.32,17,19,18,0,1
g13_00003_7.tif,6638183,7,19,0.01199,0.03254,3.25,5,7,251,148,1
g13_00003_8.tif,6469363,46,72,0.07879,0.12333,12.33,8,13,100,234,0
g13_00003_8.tif,6469367,13,30,0.02227,0.05139,5.14,5,8,97,237,0
g13_00003_8.tif,6469368,138,189,0.23637,0.32373,32.37,24,11,86,245,1
g13_00003_8.tif,6517511,23,52,0.0394,0.08907,8.91,9,12,143,37,0
g13_00003_8.tif,6517514,15,38,0.02569,0.06509,6.51,4,11,152,49,0
g13_00003_8.tif,6835889,4,18,0.00685,0.03083,3.08,3,6,252,245,0
g13_00003_8.tif,6864177,40,71,0.06851,0.12161,12.16,8,17,0,76,1
g13_00003_9.tif,6469368,12,22,0.02055,0.03768,3.77,7,4,99,0,1
g13_00003_9.tif,6650054,29,59,0.04967,0.10106,10.11,7,16,145,55,0
g13_00003_9.tif,6650055,2,8,0.00343,0.0137,1.37,4,4,149,70,0
g13_00004_0.tif,6090653,7,19,0.01199,0.03254,3.25,5,6,44,173,0
g13_00004_0.tif,6090654,29,54,0.04967,0.09249,9.25,8,12,41,162,0
g13_00004_0.tif,6090658,2,10,0.00343,0.01713,1.71,4,4,47,188,0
g13_00004_0.tif,6111251,1,6,0.00171,0.01028,1.03,2,3,4,208,0
g13_00004_0.tif,6111252,37,60,0.06338,0.10277,10.28,5,16,0,197,1
g13_00004_0.tif,6208423,6,18,0.01028,0.03083,3.08,4,7,30,212,0
g13_00004_0.tif,6316528,231,364,0.39567,0.62348,62.35,31,35,106,130,0
g13_00004_0.tif,6316531,4,12,0.00685,0.02055,2.06,4,8,127,141,0
g13_00004_0.tif,6707003,146,180,0.25008,0.30831,30.83,13,18,124,238,1
g13_00004_0.tif,6707008,52,80,0.08907,0.13703,13.7,10,13,116,243,1
g13_00004_0.tif,6788595,41,61,0.07023,0.10448,10.45,15,7,32,249,1
g13_00004_0.tif,6788596,594,690,1.01743,1.18187,118.19,32,41,57,215,1
g13_00004_0.tif,6862344,376,421,0.64403,0.72111,72.11,14,44,242,0,1
g13_00004_0.tif,6862365,1708,1818,2.92555,3.11396,311.4,61,49,193,207,1
g13_00004_0.tif,6862366,2244,2410,3.84364,4.12797,412.8,26,160,230,47,1
g13_00004_0.tif,6862373,3310,3498,5.66953,5.99155,599.15,60,91,157,165,1
g13_00004_0.tif,6862394,2135,2318,3.65693,3.97039,397.04,42,83,202,35,0
g13_00004_0.tif,6862396,2058,2239,3.52505,3.83507,383.51,54,82,187,87,0
g13_00004_0.tif,6862397,2,6,0.00343,0.01028,1.03,4,2,193,0,1
g13_00004_0.tif,6910498,1269,1421,2.17361,2.43396,243.4,58,37,48,26,0
g13_00004_0.tif,6987753,96,126,0.16443,0.21582,21.58,8,24,0,28,1
g13_00004_0.tif,7044089,189,243,0.32373,0.41622,41.62,15,24,140,232,1
g13_00004_0.tif,7044092,200,285,0.34257,0.48816,48.82,18,38,142,191,0
g13_00004_0.tif,7049957,12,26,0.02055,0.04453,4.45,3,12,0,52,1
g13_00004_1.tif,6090656,653,748,1.11849,1.28121,128.12,23,53,71,70,0
g13_00004_1.tif,6094132,100,187,0.17129,0.3203,32.03,15,32,238,7,0
g13_00004_1.tif,6094133,6,11,0.01028,0.01884,1.88,3,5,243,26,0
g13_00004_1.tif,6094134,7,16,0.01199,0.02741,2.74,5,6,251,1,1
g13_00004_1.tif,6094137,293,409,0.50187,0.70056,70.06,13,53,236,34,0
g13_00004_1.tif,6094214,173,191,0.29632,0.32715,32.72,10,23,246,65,1
g13_00004_1.tif,6165385,2055,2252,3.51991,3.85734,385.73,66,75,0,164,1
g13_00004_1.tif,6165391,371,486,0.63547,0.83245,83.24,22,47,61,204,0
g13_00004_1.tif,6267989,3430,3763,5.87508,6.44545,644.55,45,166,184,41,0
g13_00004_1.tif,6420102,29,47,0.04967,0.0805,8.05,9,9,0,28,1
g13_00004_1.tif,6443932,1,6,0.00171,0.01028,1.03,3,3,7,253,1
g13_00004_1.tif,6443934,319,365,0.5464,0.62519,62.52,21,29,0,132,1
g13_00004_1.tif,6443941,563,660,0.96433,1.13048,113.05,38,44,77,27,0
g13_00004_1.tif,6443952,53,98,0.09078,0.16786,16.79,14,21,50,132,0
g13_00004_1.tif,6444032,241,286,0.4128,0.48988,48.99,36,34,81,44,0
g13_00004_1.tif,6444073,299,345,0.51214,0.59093,59.09,35,35,84,51,0
g13_00004_1.tif,6444273,368,450,0.63033,0.77078,77.08,24,35,60,146,0
g13_00004_1.tif,6444289,535,619,0.91637,1.06025,106.03,22,52,71,154,0
g13_00004_1.tif,6444732,1829,2055,3.1328,3.51991,351.99,54,63,10,134,0
g13_00004_1.tif,6503716,238,289,0.40766,0.49501,49.5,23,15,0,57,1
g13_00004_1.tif,6503721,410,459,0.70227,0.7862,78.62,34,36,88,60,0
g13_00004_1.tif,6503913,333,396,0.57038,0.67829,67.83,32,22,0,36,1
g13_00004_1.tif,6503966,3,8,0.00514,0.0137,1.37,2,5,0,52,1
g13_00004_1.tif,6504115,442,513,0.75708,0.87869,87.87,35,34,118,30,0
g13_00004_1.tif,6504116,534,596,0.91466,1.02086,102.09,35,32,120,49,0
g13_00004_1.tif,6504194,370,423,0.63375,0.72454,72.45,33,36,93,72,0
g13_00004_1.tif,6559607,442,595,0.75708,1.01915,101.91,16,96,172,127,0
g13_00004_1.tif,6578268,320,385,0.54811,0.65945,65.94,22,25,114,26,0
g13_00004_1.tif,6578397,405,434,0.6937,0.74338,74.34,41,28,14,228,1
g13_00004_1.tif,6578410,340,388,0.58237,0.66459,66.46,21,29,0,207,1
g13_00004_1.tif,6578413,456,509,0.78106,0.87184,87.18,43,35,18,216,0
g13_00004_1.tif,6578415,64,103,0.10962,0.17642,17.64,39,28,17,225,0
g13_00004_1.tif,6581409,1849,2073,3.16706,3.55074,355.07,48,77,119,66,0
g13_00004_1.tif,6581410,2,10,0.00343,0.01713,1.71,3,5,150,93,0
g13_00004_1.tif,6581411,32,63,0.05481,0.10791,10.79,11,15,146,89,0
g13_00004_1.tif,6689417,288,461,0.4933,0.78962,78.96,16,92,167,132,0
g13_00004_1.tif,6707003,160,192,0.27406,0.32887,32.89,17,14,122,0,1
g13_00004_1.tif,6707008,63,98,0.10791,0.16786,16.79,9,18,115,0,1
g13_00004_1.tif,6788595,771,871,1.32061,1.49189,149.19,26,49,25,0,1
g13_00004_1.tif,6788596,40,61,0.06851,0.10448,10.45,16,7,68,0,1
g13_00004_1.tif,6862312,3531,3735,6.04807,6.39749,639.75,64,96,77,160,1
g13_00004_1.tif,6862365,3465,3675,5.93503,6.29472,629.47,85,92,159,0,1
g13_00004_1.tif,6862373,1107,1225,1.89612,2.09824,209.82,36,59,156,0,1
g13_00004_1.tif,6862379,3671,3940,6.28787,6.74863,674.86,48,139,129,108,0
g13_00004_1.tif,6862393,2091,2402,3.58157,4.11427,411.43,43,168,199,36,0
g13_00004_1.tif,6917340,524,612,0.89753,1.04826,104.83,27,44,94,91,0
g13_00004_1.tif,6945580,42,79,0.07194,0.13532,13.53,7,21,69,78,0
g13_00004_1.tif,6945581,97,144,0.16615,0.24665,24.67,14,23,187,85,0
g13_00004_1.tif,6961800,117,146,0.2004,0.25008,25.01,8,23,248,107,1
g13_00004_1.tif,6961802,138,196,0.23637,0.33572,33.57,12,26,242,87,0
g13_00004_1.tif,7044089,203,261,0.34771,0.44705,44.71,13,28,141,0,1
g13_00004_10.tif,6153118,278,335,0.47617,0.5738,57.38,21,27,59,50,0
g13_00004_10.tif,6153121,270,320,0.46247,0.54811,54.81,21,26,73,40,0
g13_00004_10.tif,6153129,61,101,0.10448,0.173,17.3,9,17,40,0,1
g13_00004_10.tif,6170255,839,931,1.43708,1.59466,159.47,37,58,169,20,0
g13_00004_10.tif,6170256,501,606,0.85814,1.03799,103.8,28,58,154,39,0
g13_00004_10.tif,6170328,383,479,0.65602,0.82046,82.05,27,57,162,33,0
g13_00004_10.tif,6173245,49,66,0.08393,0.11305,11.3,13,9,198,0,1
g13_00004_10.tif,6178877,8,43,0.0137,0.07365,7.37,11,18,210,1,0
g13_00004_10.tif,6178878,445,526,0.76222,0.90096,90.1,27,38,204,3,0
g13_00004_10.tif,6179616,40,83,0.06851,0.14217,14.22,10,17,195,32,0
g13_00004_10.tif,6179618,15,37,0.02569,0.06338,6.34,8,12,194,29,0
g13_00004_10.tif,6179619,2,11,0.00343,0.01884,1.88,4,5,209,51,0
g13_00004_10.tif,6179728,2,13,0.00343,0.02227,2.23,4,6,202,38,0
g13_00004_10.tif,6179860,272,313,0.4659,0.53612,53.61,22,32,183,2,0
g13_00004_10.tif,6179862,142,173,0.24322,0.29632,29.63,20,27,189,12,0
g13_00004_10.tif,6179879,112,158,0.19184,0.27063,27.06,19,23,179,0,1
g13_00004_10.tif,6215158,41,62,0.07023,0.1062,10.62,15,12,201,61,0
g13_00004_10.tif,6215159,95,134,0.16272,0.22952,22.95,16,16,181,81,0
g13_00004_10.tif,6215397,18,51,0.03083,0.08736,8.74,16,12,201,58,0
g13_00004_10.tif,6267671,341,406,0.58408,0.69542,69.54,22,36,152,76,0
g13_00004_10.tif,6267674,5,18,0.00856,0.03083,3.08,5,6,196,104,0
g13_00004_10.tif,6267675,12,40,0.02055,0.06851,6.85,14,10,182,107,0
g13_00004_10.tif,6267712,36,57,0.06166,0.09763,9.76,15,13,182,109,0
g13_00004_10.tif,6309657,11,23,0.01884,0.0394,3.94,8,5,161,251,1
g13_00004_10.tif,6359251,12,31,0.02055,0.0531,5.31,4,14,122,133,0
g13_00004_10.tif,6359290,331,449,0.56695,0.76907,76.91,30,86,92,35,0
g13_00004_10.tif,6359291,309,444,0.52927,0.76051,76.05,27,83,89,38,0
g13_00004_10.tif,6359465,18,48,0.03083,0.08222,8.22,4,14,120,132,0
g13_00004_10.tif,6365567,229,263,0.39224,0.45048,45.05,26,19,104,0,1
g13_00004_10.tif,6365589,1177,1297,2.01602,2.22157,222.16,30,58,0,59,1
g13_00004_10.tif,6365590,196,255,0.33572,0.43678,43.68,17,26,76,150,0
g13_00004_10.tif,6365592,11,39,0.01884,0.0668,6.68,5,14,56,175,0
g13_00004_10.tif,6366086,1212,1310,2.07597,2.24383,224.38,40,78,114,9,0
g13_00004_10.tif,6366087,539,641,0.92323,1.09794,109.79,34,68,127,2,0
g13_00004_10.tif,6460802,827,916,1.41653,1.56897,156.9,34,45,105,62,0
g13_00004_10.tif,6516048,145,211,0.24836,0.36141,36.14,20,19,91,146,0
g13_00004_10.tif,6516049,90,126,0.15416,0.21582,21.58,13,16,96,112,0
g13_00004_10.tif,6516062,133,177,0.22781,0.30317,30.32,15,18,89,89,0
g13_00004_10.tif,6516066,87,116,0.14902,0.19869,19.87,14,14,92,101,0
g13_00004_10.tif,6516071,4,12,0.00685,0.02055,2.06,9,6,96,111,0
g13_00004_10.tif,6522458,253,351,0.43335,0.60121,60.12,20,39,13,8,0
g13_00004_10.tif,6522459,2,12,0.00343,0.02055,2.06,3,4,11,28,0
g13_00004_10.tif,6522460,397,461,0.68,0.78962,78.96,26,30,87,0,1
g13_00004_10.tif,6522567,2,9,0.00343,0.01542,1.54,3,5,31,35,0
g13_00004_10.tif,6536938,251,329,0.42993,0.56353,56.35,18,35,75,2,0
g13_00004_10.tif,6546177,23,40,0.0394,0.06851,6.85,14,3,169,253,1
g13_00004_10.tif,6546179,25,42,0.04282,0.07194,7.19,13,6,198,250,1
g13_00004_10.tif,6546285,440,490,0.75365,0.8393,83.93,29,23,227,233,1
g13_00004_10.tif,6546286,335,409,0.5738,0.70056,70.06,24,24,232,214,1
g13_00004_10.tif,6853115,154,210,0.26378,0.3597,35.97,26,13,102,53,0
g13_00004_10.tif,6853117,205,242,0.35113,0.41451,41.45,18,24,104,24,0
g13_00004_10.tif,6853120,160,235,0.27406,0.40252,40.25,19,38,141,81,0
g13_00004_10.tif,6853855,129,172,0.22096,0.29461,29.46,13,21,98,31,0
g13_00004_10.tif,7082021,71,113,0.12161,0.19355,19.36,8,20,163,105,0
g13_00004_11.tif,6106466,2,12,0.00343,0.02055,2.06,5,6,242,233,0
g13_00004_11.tif,6106468,457,502,0.78277,0.85985,85.99,22,36,234,180,1
g13_00004_11.tif,6106473,11,33,0.01884,0.05652,5.65,10,10,231,246,1
g13_00004_11.tif,6225341,171,239,0.2929,0.40937,40.94,25,17,157,207,0
g13_00004_11.tif,6225345,45,80,0.07708,0.13703,13.7,14,12,133,186,0
g13_00004_11.tif,6309654,131,194,0.22438,0.33229,33.23,14,31,94,40,0
g13_00004_11.tif,6309657,662,761,1.13391,1.30348,130.35,36,39,136,0,1
g13_00004_11.tif,6309659,369,447,0.63204,0.76564,76.56,16,50,162,29,0
