country,chip,parcel_id,width_native_px,contrast
india,g0_1180.tif,5898,5.581,1.3605
india,g0_1180.tif,5899,6.674,1.6173
india,g0_1180.tif,5900,16.382,1.6485
india,g0_1180.tif,5901,14.743,1.6255
india,g0_1210.tif,6047,4.82,1.2168
india,g0_1210.tif,6048,2.107,1.2979
india,g0_1210.tif,6049,3.768,1.5818
india,g0_1210.tif,6050,4.542,1.3168
india,g0_1210.tif,6051,3.231,1.2375
india,g0_1234.tif,6167,3.768,0.7006
india,g0_1234.tif,6168,3.231,0.735
india,g0_1234.tif,6169,2.825,0.6799
india,g0_1234.tif,6170,3.768,1.178
india,g0_1234.tif,6171,8.144,0.9983
india,g0_1243.tif,6212,4.247,0.806
india,g0_1243.tif,6213,6.469,1.6573
india,g0_1243.tif,6214,7.068,0.8748
india,g0_1243.tif,6215,2.825,0.4047
india,g0_1243.tif,6216,1.82,0.6984
india,g0_1245.tif,6222,1.82,1.1074
india,g0_1245.tif,6223,1.82,1.0941
india,g0_1245.tif,6224,1.82,1.0122
india,g0_1245.tif,6225,1.82,0.9041
india,g0_1245.tif,6226,2.825,0.8118
india,g0_1263.tif,6312,3.768,1.0988
india,g0_1263.tif,6313,4.397,1.2151
india,g0_1263.tif,6314,5.928,1.0077
india,g0_1263.tif,6315,5.461,1.2029
india,g0_1263.tif,6316,6.469,1.1237
india,g0_1316.tif,6577,3.034,0.9198
india,g0_1316.tif,6578,1.82,0.9635
india,g0_1316.tif,6579,1.82,0.9955
india,g0_1316.tif,6580,4.247,1.3006
india,g0_1316.tif,6581,1.82,1.245
india,g0_1343.tif,6712,5.461,1.3624
india,g0_1343.tif,6713,9.101,1.5645
india,g0_1343.tif,6714,10.315,1.5575
india,g0_1343.tif,6715,12.062,1.4859
india,g0_1343.tif,6716,11.528,1.6952
india,g0_1367.tif,6832,4.247,0.5781
india,g0_1367.tif,6833,4.397,0.8248
india,g0_1367.tif,6834,5.581,0.9223
india,g0_1367.tif,6835,3.768,0.8067
india,g0_1367.tif,6836,3.034,0.7082
india,g0_1399.tif,6993,8.635,1.4568
india,g0_1399.tif,6994,5.928,1.8675
india,g0_1399.tif,6995,6.674,1.9422
india,g0_1399.tif,6996,5.461,2.4468
india,g0_1399.tif,6997,9.761,1.2708
india,g0_1402.tif,7008,6.674,1.2148
india,g0_1402.tif,7009,4.247,1.293
india,g0_1402.tif,7010,3.034,1.109
india,g0_1402.tif,7011,3.768,1.5209
india,g0_1402.tif,7012,7.888,1.2135
india,g0_1460.tif,7298,4.247,1.347
india,g0_1460.tif,7299,3.231,2.3348
india,g0_1460.tif,7300,4.247,0.8097
india,g0_1460.tif,7301,3.034,2.3218
india,g0_1460.tif,7302,6.674,0.8667
india,g0_1489.tif,7443,4.82,0.8955
india,g0_1489.tif,7444,6.674,0.8736
india,g0_1489.tif,7445,7.888,1.0086
india,g0_1489.tif,7446,5.461,1.1912
india,g0_1489.tif,7447,5.581,1.2025
india,g0_1494.tif,7468,5.461,1.3327
india,g0_1494.tif,7469,7.888,1.2849
india,g0_1494.tif,7470,5.461,1.3622
india,g0_1494.tif,7471,8.871,1.5562
india,g0_1494.tif,7472,7.888,1.6312
india,g0_1504.tif,7518,3.034,0.8942
india,g0_1504.tif,7519,4.247,0.8788
india,g0_1504.tif,7520,4.82,1.2375
india,g0_1504.tif,7521,3.034,1.0538
india,g0_1504.tif,7522,3.034,1.0865
india,g0_1507.tif,7533,2.107,0.7957
india,g0_1507.tif,7534,2.825,0.5408
india,g0_1507.tif,7535,2.825,0.7364
india,g0_1507.tif,7536,1.82,0.7199
india,g0_1507.tif,7537,2.825,0.8191
india,g0_1539.tif,7693,6.469,1.4644
india,g0_1539.tif,7694,5.461,1.7579
india,g0_1539.tif,7695,8.635,0.9557
india,g0_1539.tif,7696,13.597,1.4933
india,g0_1539.tif,7697,7.974,1.2028
india,g0_1550.tif,7748,4.397,1.147
india,g0_1550.tif,7749,4.82,1.3065
india,g0_1550.tif,7750,4.247,1.2864
india,g0_1550.tif,7751,5.461,1.476
india,g0_1550.tif,7752,3.034,1.1681
india,g0_1607.tif,8033,10.315,1.099
india,g0_1607.tif,8034,9.101,1.1187
india,g0_1607.tif,8035,11.528,1.0618
india,g0_1607.tif,8036,7.888,0.9937
india,g0_1607.tif,8037,9.101,1.1734
india,g0_1635.tif,8173,5.461,0.947
india,g0_1635.tif,8174,5.461,0.9077
india,g0_1635.tif,8175,3.231,0.8696
india,g0_1635.tif,8176,3.231,0.9564
india,g0_1635.tif,8177,4.82,1.0369
india,g0_1651.tif,8253,6.775,1.1577
india,g0_1651.tif,8254,6.469,0.8127
india,g0_1651.tif,8255,6.775,1.1491
india,g0_1651.tif,8256,5.928,1.2793
india,g0_1651.tif,8257,5.581,1.08
india,g0_1687.tif,8433,4.397,1.5545
india,g0_1687.tif,8434,2.825,0.9028
india,g0_1687.tif,8435,2.107,1.0623
india,g0_1687.tif,8436,4.247,1.3381
india,g0_1687.tif,8437,2.107,1.3201
india,g0_1721.tif,8603,2.107,1.1725
india,g0_1721.tif,8604,4.247,1.4141
india,g0_1721.tif,8605,4.247,1.5053
india,g0_1721.tif,8606,4.247,0.9653
india,g0_1721.tif,8607,5.461,0.8441
india,g0_1762.tif,8808,4.542,0.8096
india,g0_1762.tif,8809,3.768,0.741
india,g0_1762.tif,8810,3.768,0.5706
india,g0_1762.tif,8811,3.768,0.6508
india,g0_1762.tif,8812,4.397,0.5084
india,g0_1776.tif,8878,3.231,0.7822
india,g0_1776.tif,8879,3.034,0.8206
india,g0_1776.tif,8880,3.768,1.1713
india,g0_1776.tif,8881,3.768,1.0949
india,g0_1776.tif,8882,3.034,1.3799
india,g0_1794.tif,8968,3.231,0.828
india,g0_1794.tif,8969,2.825,0.6151
india,g0_1794.tif,8970,3.231,0.9338
india,g0_1794.tif,8971,2.107,1.2435
india,g0_1794.tif,8972,2.825,0.9536
india,g0_1806.tif,9028,8.635,1.163
india,g0_1806.tif,9029,7.533,1.1517
india,g0_1806.tif,9030,4.397,1.3344
india,g0_1806.tif,9031,3.034,1.1829
india,g0_1806.tif,9032,5.928,1.1551
india,g0_1820.tif,9098,1.82,1.0817
india,g0_1820.tif,9099,3.034,1.0649
india,g0_1820.tif,9100,2.107,0.8863
india,g0_1820.tif,9101,2.825,0.9173
india,g0_1820.tif,9102,3.034,0.8054
india,g0_1822.tif,9108,4.247,1.25
india,g0_1822.tif,9109,3.034,1.0008
india,g0_1822.tif,9110,3.034,0.8589
india,g0_1822.tif,9111,3.231,0.7628
india,g0_1822.tif,9112,3.034,0.8149
india,g0_1839.tif,9193,1.82,0.9945
india,g0_1839.tif,9194,7.068,1.1299
india,g0_1839.tif,9195,3.768,1.3766
india,g0_1839.tif,9196,9.101,1.3325
india,g0_1839.tif,9197,9.101,1.6045
india,g0_1845.tif,9223,3.231,0.8799
india,g0_1845.tif,9224,2.825,0.9668
india,g0_1845.tif,9225,4.397,1.3432
india,g0_1845.tif,9226,2.825,1.0538
india,g0_1845.tif,9227,4.542,1.4847
india,g0_1850.tif,9248,4.247,1.0671
india,g0_1850.tif,9249,1.82,0.8511
india,g0_1850.tif,9250,4.247,1.2714
india,g0_1850.tif,9251,3.034,1.0815
india,g0_1850.tif,9252,2.107,1.1415
india,g0_1869.tif,9343,5.461,1.1137
india,g0_1869.tif,9344,7.533,1.3597
india,g0_1869.tif,9345,3.768,0.9827
india,g0_1869.tif,9346,7.974,1.347
india,g0_1869.tif,9347,5.928,1.652
india,g0_1901.tif,9503,4.247,1.3867
india,g0_1901.tif,9504,4.247,1.3006
india,g0_1901.tif,9505,6.674,1.932
india,g0_1901.tif,9506,7.068,1.1765
india,g0_1901.tif,9507,5.461,2.1512
india,g0_1922.tif,9608,4.247,0.8454
india,g0_1922.tif,9609,7.888,0.794
india,g0_1922.tif,9610,4.247,0.5831
india,g0_1922.tif,9611,9.101,0.9218
india,g0_1922.tif,9612,4.247,0.8475
india,g0_1938.tif,9688,5.461,1.0263
india,g0_1938.tif,9689,4.247,0.9636
india,g0_1938.tif,9690,5.461,1.4563
india,g0_1938.tif,9691,3.768,1.8508
india,g0_1938.tif,9692,6.674,1.5626
india,g0_1951.tif,9753,3.768,1.0296
india,g0_1951.tif,9754,3.034,0.8708
india,g0_1951.tif,9755,4.247,0.7962
india,g0_1951.tif,9756,2.825,1.0605
india,g0_1951.tif,9757,3.034,1.4412
india,g0_1985.tif,9923,8.227,0.9288
india,g0_1985.tif,9924,11.528,0.7647
india,g0_1985.tif,9925,3.034,1.2049
india,g0_1985.tif,9926,3.231,1.035
india,g0_1985.tif,9927,4.82,1.2822
india,g1_0255.tif,1276,1.82,0.5095
india,g1_0255.tif,1277,1.82,0.6239
india,g1_0255.tif,1278,1.82,0.7248
india,g1_0255.tif,1279,1.82,0.5634
india,g1_0255.tif,1280,1.82,0.542
india,g1_0263.tif,1317,3.034,1.6026
india,g1_0263.tif,1318,5.581,1.6452
india,g1_0263.tif,1319,2.107,1.4127
india,g1_0263.tif,1320,2.107,1.2866
india,g1_0264.tif,1321,3.034,1.1703
india,g1_0264.tif,1322,1.82,1.2755
india,g1_0264.tif,1323,3.034,1.1988
india,g1_0264.tif,1324,2.107,1.9648
india,g1_0264.tif,1325,3.231,1.7101
india,g1_0474.tif,2371,1.82,0.8043
india,g1_0474.tif,2372,3.034,0.8733
india,g1_0474.tif,2373,2.825,0.7611
india,g1_0474.tif,2374,1.82,0.8552
india,g1_0474.tif,2375,1.82,0.9258
india,g1_0482.tif,2411,2.825,1.498
india,g1_0482.tif,2412,2.107,0.9043
india,g1_0482.tif,2413,4.542,1.1451
india,g1_0482.tif,2414,4.397,1.1612
india,g1_0482.tif,2415,4.82,0.8777
india,g1_0530.tif,2651,4.247,1.0518
india,g1_0530.tif,2652,2.825,1.098
india,g1_0530.tif,2653,1.82,1.2222
india,g1_0530.tif,2654,1.82,0.6187
india,g1_0530.tif,2655,3.768,0.8634
india,g1_0589.tif,2946,3.231,0.7177
india,g1_0589.tif,2947,3.231,0.8659
india,g1_0589.tif,2948,3.768,0.6986
india,g1_0589.tif,2949,3.231,0.9201
india,g1_0589.tif,2950,3.034,1.0511
india,g1_0730.tif,3652,4.247,1.4776
india,g1_0730.tif,3653,3.034,1.3306
india,g1_0730.tif,3654,3.768,1.2664
india,g1_0730.tif,3655,3.231,1.3087
india,g1_0730.tif,3656,4.397,1.4613
india,g1_0775.tif,3877,4.247,0.864
india,g1_0775.tif,3878,3.768,0.6313
india,g1_0775.tif,3879,4.247,1.105
india,g1_0775.tif,3880,2.825,1.0064
india,g1_0775.tif,3881,3.231,1.6394
india,g1_0817.tif,4082,4.247,1.0731
india,g1_0817.tif,4083,4.247,1.198
india,g1_0817.tif,4084,3.231,1.8227
india,g1_0817.tif,4085,4.397,1.9506
india,g1_0817.tif,4086,4.397,1.9196
india,g1_0890.tif,4447,3.768,0.8627
india,g1_0890.tif,4448,3.768,1.0153
india,g1_0890.tif,4449,4.542,0.9545
india,g1_0890.tif,4450,2.825,1.1722
india,g1_0890.tif,4451,2.825,0.9798
india,g1_1012.tif,5057,3.768,0.8993
india,g1_1012.tif,5058,3.231,1.0518
india,g1_1012.tif,5059,3.034,0.9663
india,g1_1012.tif,5060,3.034,1.0154
india,g1_1012.tif,5061,4.247,1.0373
india,g1_1072.tif,5357,2.825,0.9206
india,g1_1072.tif,5358,1.82,0.9074
india,g1_1072.tif,5359,1.82,0.7025
india,g1_1072.tif,5360,2.107,1.0512
india,g1_1072.tif,5361,2.107,0.7917
india,g1_1136.tif,5677,3.768,0.5999
india,g1_1136.tif,5678,5.461,0.6234
india,g1_1136.tif,5679,4.397,1.1047
india,g1_1136.tif,5680,4.247,1.1834
india,g1_1136.tif,5681,4.247,0.9605
india,g1_1191.tif,5952,2.825,0.8516
india,g1_1191.tif,5953,1.109,0.6754
india,g1_1191.tif,5954,1.82,0.8252
india,g1_1191.tif,5955,1.82,0.8698
india,g1_1191.tif,5956,1.82,0.7625
india,g1_1248.tif,6237,3.231,1.1903
india,g1_1248.tif,6238,2.825,1.0688
india,g1_1248.tif,6239,3.231,0.7195
india,g1_1248.tif,6240,3.768,1.1827
india,g1_1248.tif,6241,4.247,1.4919
india,g1_1530.tif,7648,2.825,1.2367
india,g1_1530.tif,7649,2.107,1.0998
india,g1_1530.tif,7650,2.107,0.9568
india,g1_1530.tif,7651,3.034,0.5935
india,g1_1530.tif,7652,3.034,0.8599
india,g1_1556.tif,7778,3.034,1.1949
india,g1_1556.tif,7779,4.247,1.1935
india,g1_1556.tif,7780,3.034,1.2707
india,g1_1556.tif,7781,4.247,1.5825
india,g1_1556.tif,7782,5.461,1.0852
india,g1_1578.tif,7888,1.82,0.9481
india,g1_1578.tif,7889,1.82,0.8134
india,g1_1578.tif,7890,3.768,0.8345
india,g1_1578.tif,7891,4.247,1.2706
india,g1_1578.tif,7892,1.82,0.9509
india,g1_1703.tif,8513,3.231,1.1534
india,g1_1703.tif,8514,3.034,1.3262
india,g1_1703.tif,8515,1.82,1.1625
india,g1_1703.tif,8516,2.825,1.188
india,g1_1703.tif,8517,3.034,1.3711
india,g1_1747.tif,8733,3.034,0.7368
india,g1_1747.tif,8734,3.768,0.7356
india,g1_1747.tif,8735,2.107,1.0518
india,g1_1747.tif,8736,3.034,1.6703
india,g1_1747.tif,8737,1.82,1.4745
india,g1_1828.tif,9138,1.82,0.8178
india,g1_1828.tif,9139,1.109,1.0004
india,g1_1828.tif,9140,1.109,1.1319
india,g1_1828.tif,9141,2.107,0.7251
india,g1_1828.tif,9142,1.109,0.8424
india,g1_1874.tif,9368,4.82,0.9431
india,g1_1874.tif,9369,3.768,1.1052
india,g1_1874.tif,9370,5.461,0.7801
india,g1_1874.tif,9371,4.397,0.9771
india,g1_1874.tif,9372,3.034,1.1304
india,g1_1880.tif,9398,3.034,0.9337
india,g1_1880.tif,9399,4.397,1.1525
india,g1_1880.tif,9400,4.542,1.1191
india,g1_1880.tif,9401,4.247,0.9975
india,g1_1880.tif,9402,3.231,0.9179
india,g1_1927.tif,9633,9.761,0.8904
india,g1_1927.tif,9634,4.247,1.2582
india,g1_1927.tif,9635,3.231,1.2292
india,g1_1927.tif,9636,1.82,1.1739
india,g1_1927.tif,9637,1.82,1.3035
india,g1_1932.tif,9658,3.768,0.8798
india,g1_1932.tif,9659,2.107,0.9848
india,g1_1932.tif,9660,2.825,1.0306
india,g1_1932.tif,9661,2.825,1.0902
india,g1_1932.tif,9662,1.82,1.0768
india,g1_1946.tif,9728,3.768,0.9614
india,g1_1946.tif,9729,1.82,0.8156
india,g1_1946.tif,9730,2.825,1.088
india,g1_1946.tif,9731,3.768,0.9454
india,g1_1946.tif,9732,2.825,0.9569
india,g1_1962.tif,9808,1.82,1.2843
india,g1_1962.tif,9809,1.82,1.3546
india,g1_1962.tif,9810,2.107,1.4257
india,g1_1962.tif,9811,2.107,1.3613
india,g1_1962.tif,9812,2.107,1.4696
india,g1_1975.tif,9873,4.397,1.4815
india,g1_1975.tif,9874,2.825,1.3924
india,g1_1975.tif,9875,3.231,1.3605
india,g1_1975.tif,9876,2.825,1.2443
india,g1_1975.tif,9877,3.034,1.2373
india,g2_0000.tif,1,5.581,1.0673
india,g2_0000.tif,2,3.768,1.155
india,g2_0000.tif,3,4.82,0.6241
india,g2_0000.tif,4,4.397,0.8481
india,g2_0002.tif,10,4.247,1.5899
india,g2_0002.tif,11,4.247,1.0757
india,g2_0002.tif,12,5.461,0.8712
india,g2_0002.tif,13,2.825,1.0342
india,g2_0002.tif,14,2.825,0.6711
india,g2_0006.tif,30,4.397,0.7365
india,g2_0006.tif,31,3.768,0.6751
india,g2_0006.tif,32,4.82,0.8245
india,g2_0006.tif,33,4.397,0.5954
india,g2_0006.tif,34,6.469,1.1641
india,g2_0007.tif,35,6.775,1.0453
india,g2_0007.tif,36,3.768,1.1051
india,g2_0007.tif,37,3.768,0.8886
india,g2_0007.tif,38,4.82,1.1217
india,g2_0007.tif,39,4.397,1.11
india,g2_0010.tif,50,4.82,1.1313
india,g2_0010.tif,51,1.82,0.6384
india,g2_0010.tif,52,4.247,0.6687
india,g2_0010.tif,53,5.461,0.9966
india,g2_0010.tif,54,6.674,0.9349
india,g2_0011.tif,55,10.581,0.8126
india,g2_0011.tif,56,6.258,0.8321
india,g2_0011.tif,57,6.469,0.9586
india,g2_0011.tif,58,8.635,0.9347
india,g2_0011.tif,59,4.82,1.0653
india,g2_0013.tif,65,4.82,1.1622
india,g2_0013.tif,66,10.247,1.1749
india,g2_0013.tif,67,9.177,1.0282
india,g2_0013.tif,68,7.974,1.4699
india,g2_0013.tif,69,4.82,1.0955
india,g2_0017.tif,85,3.034,3.1153
india,g2_0017.tif,86,10.315,1.9098
india,g2_0017.tif,87,4.247,1.9827
india,g2_0017.tif,88,7.888,1.3151
india,g2_0017.tif,89,8.635,1.4561
india,g2_0018.tif,90,4.247,0.9592
india,g2_0018.tif,91,5.461,1.1246
india,g2_0018.tif,92,4.397,1.4094
india,g2_0018.tif,93,4.247,1.2748
india,g2_0018.tif,94,4.247,1.3358
india,g2_0022.tif,110,3.034,1.0366
india,g2_0022.tif,111,4.247,0.6972
india,g2_0022.tif,112,3.231,0.7313
india,g2_0022.tif,113,3.231,1.0297
india,g2_0022.tif,114,3.231,0.9983
india,g2_0060.tif,300,5.461,1.2484
india,g2_0060.tif,301,5.581,1.4023
india,g2_0060.tif,302,5.461,1.009
india,g2_0060.tif,303,7.068,0.9202
india,g2_0060.tif,304,8.635,0.9134
india,g2_0062.tif,310,3.034,0.9705
india,g2_0062.tif,311,3.034,1.228
india,g2_0062.tif,312,3.768,1.129
india,g2_0062.tif,313,3.231,0.916
india,g2_0062.tif,314,3.231,0.8386
india,g2_0065.tif,325,2.107,0.9517
india,g2_0065.tif,326,2.825,0.6281
india,g2_0065.tif,327,2.107,0.5367
india,g2_0065.tif,328,4.82,0.7904
india,g2_0065.tif,329,2.825,0.6986
india,g2_0071.tif,355,1.82,1.3087
india,g2_0071.tif,356,1.82,1.1067
india,g2_0071.tif,357,3.231,1.0916
india,g2_0071.tif,358,1.82,1.0453
india,g2_0071.tif,359,5.461,1.1414
india,g2_0072.tif,360,12.062,1.5283
india,g2_0072.tif,361,12.062,1.1775
india,g2_0072.tif,362,12.463,1.7612
india,g2_0072.tif,363,11.588,1.683
india,g2_0072.tif,364,10.382,1.8345
india,g2_0075.tif,375,9.4,1.0372
india,g2_0075.tif,376,10.315,0.7379
india,g2_0075.tif,377,5.461,0.7274
india,g2_0075.tif,378,5.581,0.4353
india,g2_0075.tif,379,5.461,0.6408
india,g2_0077.tif,385,5.461,1.3478
india,g2_0077.tif,386,11.528,1.2437
india,g2_0077.tif,387,5.461,1.9585
india,g2_0077.tif,388,5.461,1.4109
india,g2_0077.tif,389,5.461,1.3202
india,g2_0098.tif,490,10.581,0.8299
india,g2_0098.tif,491,10.905,1.0163
india,g2_0098.tif,492,10.247,1.031
india,g2_0098.tif,493,7.068,0.9601
india,g2_0098.tif,494,11.887,0.9174
india,g2_0101.tif,505,5.461,0.9894
india,g2_0101.tif,506,7.888,1.2909
india,g2_0101.tif,507,6.674,0.9688
india,g2_0101.tif,508,10.315,1.1374
india,g2_0101.tif,509,9.177,1.1617
india,g2_0105.tif,525,3.034,1.3453
india,g2_0105.tif,526,3.034,0.8837
india,g2_0105.tif,527,4.247,1.2071
india,g2_0105.tif,528,3.231,1.1151
india,g2_0105.tif,529,3.034,0.7383
india,g2_0112.tif,560,1.82,0.8944
india,g2_0112.tif,561,2.107,0.6946
india,g2_0112.tif,562,5.461,0.9624
india,g2_0112.tif,563,3.034,0.7882
india,g2_0112.tif,564,4.247,0.8861
india,g2_0115.tif,575,9.761,1.2346
india,g2_0115.tif,576,13.229,1.1698
