aoi_id,district,state,split
g2_0062,Karauli,Rājasthān,test
g0_0063,Bemetra,Chhattīsgarh,train
g0_0064,Bellary,Karnātaka,train
g2_0065,Jaunpur,Uttar Pradesh,test
g0_0066,Bagalkot,Karnātaka,train
g0_0067,Bijapur,Karnātaka,train
g0_0068,Kolhapur,Mahārāshtra,train
g2_0069,Kachchh,Gujarāt,train
g0_0070,Kodagu,Karnātaka,train
g2_0071,Bharatpur,Rājasthān,test
g2_0072,Kota,Rājasthān,test
g0_0073,Ariyalur,Tamil Nādu,test
g0_0074,Wardha,Mahārāshtra,val
g2_0075,Jaipur,Rājasthān,test
g3_0076,Balrampur,Uttar Pradesh,val
g2_0077,Sirsa,Haryāna,test
g2_0078,Bara Banki,Uttar Pradesh,train
g3_0079,Gumla,Jhārkhand,test
g2_0080,Ajmer,Rājasthān,train
g3_0081,Sundargarh,Odisha,train
g2_0082,Kanshiram Nagar,Uttar Pradesh,train
g0_0083,Yavatmal,Mahārāshtra,train
g1_0084,Sundargarh,Odisha,train
g0_0085,Thiruvarur,Tamil Nādu,train
g2_0086,Bhilwara,Rājasthān,train
g2_0087,Sirsa,Haryāna,train
g0_0088,Bagalkot,Karnātaka,train
g0_0089,Jogulamba,Telangāna,train
g0_0090,Krishnagiri,Tamil Nādu,train
g0_0091,Nabarangapur,Odisha,test
g2_0092,Bhilwara,Rājasthān,train
g3_0093,Bankura,West Bengal,train
g1_0094,Debagarh,Odisha,train
g1_0095,Srikakulam,Andhra Pradesh,train
g3_0096,Buxar,Bihār,test
g0_0097,Belgaum,Karnātaka,train
g2_0098,Jodhpur,Rājasthān,test
g2_0099,Firozabad,Uttar Pradesh,val
g0_0100,Pune,Mahārāshtra,train
g2_0101,Ganganagar,Rājasthān,test
g0_0102,Bid,Mahārāshtra,train
g2_0103,Sirohi,Rājasthān,val
g0_0104,Krishnagiri,Tamil Nādu,train
g2_0105,Anand,Gujarāt,test
g0_0106,Nandurbar,Mahārāshtra,train
g0_0107,Amreli,Gujarāt,train
g0_0108,Parbhani,Mahārāshtra,train
g3_0109,Nawada,Bihār,val
g0_0110,Kadapa(YSR),Andhra Pradesh,train
g0_0111,Anantapur,Andhra Pradesh,val
g2_0112,Pratapgarh,Uttar Pradesh,test
g2_0113,Etawah,Uttar Pradesh,val
g0_0114,Rajnandgaon,Chhattīsgarh,train
g2_0115,Jodhpur,Rājasthān,test
g3_0116,Deoghar,Jhārkhand,train
g0_0117,Sri Potti Sriramulu Nellore,Andhra Pradesh,train
g2_0118,Kanpur Nagar,Uttar Pradesh,train
g3_0119,Pashchimi Singhbhum,Jhārkhand,test
g0_0120,Bid,Mahārāshtra,train
g0_0121,Khammam,Telangāna,train
g0_0122,Jalna,Mahārāshtra,train
g0_0123,Wardha,Mahārāshtra,val
g1_0124,Anugul,Odisha,train
g3_0125,Siwan,Bihār,val
g0_0126,Nanded,Mahārāshtra,train
g0_0127,Thoothukkudi,Tamil Nādu,none
g2_0128,Barmer,Rājasthān,val
g2_0129,Dhar,Madhya Pradesh,train
g0_0130,Betul,Madhya Pradesh,train
g3_0131,Jamtara,Jhārkhand,train
g2_0132,Sikar,Rājasthān,train
g2_0133,Muktsar,Punjab,train
g2_0134,Tonk,Rājasthān,test
g2_0135,Hanumangarh,Rājasthān,test
g3_0136,Purba Medinipur,West Bengal,train
g2_0137,Jamnagar,Gujarāt,test
g2_0138,Rohtak,Haryāna,val
g2_0139,Pilibhit,Uttar Pradesh,test
g0_0140,Solapur,Mahārāshtra,test
g3_0141,South Tripura,Tripura,train
g1_0142,Srikakulam,Andhra Pradesh,train
g2_0143,Ahmadabad,Gujarāt,test
g3_0144,Pakur,Jhārkhand,train
g0_0145,Jalgaon,Mahārāshtra,train
g3_0146,South Twenty Four Parganas,West Bengal,train
g0_0147,Jalgaon,Mahārāshtra,train
g3_0148,Samastipur,Bihār,val
g2_0149,Ahmadabad,Gujarāt,test
g2_0150,Kabeerdham,Chhattīsgarh,train
g2_0151,Kheri,Uttar Pradesh,val
g2_0152,Hamirpur,Uttar Pradesh,train
g0_0153,Mayiladuthurai,Tamil Nādu,train
g2_0154,Kheri,Uttar Pradesh,val
g3_0155,Jhargram,West Bengal,train
g0_0156,Gadchiroli,Mahārāshtra,train
g3_0157,North Twenty Four Parganas,West Bengal,train
g3_0158,Palamu,Jhārkhand,test
g0_0159,Guntur,Andhra Pradesh,test
g2_0160,Jodhpur,Rājasthān,train
g2_0161,Jaisalmer,Rājasthān,val
g2_0162,Shahjahanpur,Uttar Pradesh,val
g0_0163,Pune,Mahārāshtra,val
g2_0164,Pali,Rājasthān,val
g2_0165,Anand,Gujarāt,test
g2_0166,Jyotiba Phule Nagar,Uttar Pradesh,test
g0_0167,Ahmadnagar,Mahārāshtra,train
g0_0168,Khammam,Telangāna,train
g2_0169,Bhind,Madhya Pradesh,val
g0_0170,Malkangiri,Odisha,train
g2_0171,Bikaner,Rājasthān,train
g2_0172,Hardoi,Uttar Pradesh,val
g0_0173,Sangli,Mahārāshtra,val
g2_0174,Pali,Rājasthān,val
g2_0175,Pratapgarh,Uttar Pradesh,train
g0_0176,Anantapur,Andhra Pradesh,val
g2_0177,Karnal,Haryāna,train
g0_0178,Gulbarga,Karnātaka,train
g2_0179,Alirajpur,Madhya Pradesh,train
g2_0180,Rajgarh,Madhya Pradesh,train
g2_0181,Ajmer,Rājasthān,train
g2_0182,Kheri,Uttar Pradesh,val
g0_0183,Jalgaon,Mahārāshtra,train
g0_0184,Akola,Mahārāshtra,val
g2_0185,Kheri,Uttar Pradesh,val
g2_0186,Yamunanagar,Haryāna,train
g2_0187,Kheda,Gujarāt,test
g0_0188,Nashik,Mahārāshtra,train
g2_0189,Fatehpur,Uttar Pradesh,train
g0_0190,Haveri,Karnātaka,train
g0_0191,Jangaon,Telangāna,train
g0_0192,Gadag,Karnātaka,train
g0_0193,Kondagaon,Chhattīsgarh,train
g0_0194,Mayiladuthurai,Tamil Nādu,test
g0_0195,Tumkur,Karnātaka,train
g0_0196,Jalgaon,Mahārāshtra,train
g2_0197,Aligarh,Uttar Pradesh,train
g0_0198,Nalgonda,Telangāna,train
g2_0199,Mainpuri,Uttar Pradesh,train
g2_0200,Ujjain,Madhya Pradesh,train
g3_0201,Jashpur,Chhattīsgarh,train
g2_0202,Unnao,Uttar Pradesh,train
g0_0203,Sangareddy,Telangāna,train
g2_0204,Datia,Madhya Pradesh,train
g2_0205,Baran,Rājasthān,test
g0_0206,Kadapa(YSR),Andhra Pradesh,test
g1_0207,Kalahandi,Odisha,train
g0_0208,Bellary,Karnātaka,train
g1_0209,Koraput,Odisha,test
g0_0210,Bidar,Karnātaka,train
g2_0211,Sitapur,Uttar Pradesh,val
g3_0212,Bhagalpur,Bihār,train
g0_0213,Nanded,Mahārāshtra,train
g0_0214,Bid,Mahārāshtra,train
g2_0215,Hanumangarh,Rājasthān,test
g2_0216,Narsimhapur,Madhya Pradesh,train
g2_0217,Khargone (West Nimar),Madhya Pradesh,train
g0_0218,Nalgonda,Telangāna,train
g1_0219,Debagarh,Odisha,train
g0_0220,Latur,Mahārāshtra,train
g3_0221,Hugli,West Bengal,train
g2_0222,Pali,Rājasthān,val
g2_0223,Vidisha,Madhya Pradesh,val
g3_0224,Udalguri,Assam,train
g0_0225,Kancheepuram,Tamil Nādu,train
g3_0226,Jamui,Bihār,train
g2_0227,Sabar Kantha,Gujarāt,train
g3_0228,Sonitpur,Assam,train
g2_0229,Jhalawar,Rājasthān,train
g3_0230,Koch Bihar,West Bengal,train
g0_0231,Tumkur,Karnātaka,val
g2_0232,Bhopal,Madhya Pradesh,val
g0_0233,Nagapattinam,Tamil Nādu,train
g2_0234,Rajouri,Jammu and Kashmīr,train
g2_0235,Samba,Jammu and Kashmīr,train
g2_0236,Kannauj,Uttar Pradesh,train
g2_0237,Rewa,Madhya Pradesh,test
g0_0238,Belgaum,Karnātaka,train
g2_0239,Bijnor,Uttar Pradesh,test
g3_0240,Bhagalpur,Bihār,train
g0_0241,Koppal,Karnātaka,train
g2_0242,Datia,Madhya Pradesh,train
g2_0243,Tonk,Rājasthān,test
g0_0244,Chikkaballapura,Karnātaka,val
g3_0245,Dumka,Jhārkhand,train
g2_0246,Kachchh,Gujarāt,train
g0_0247,Amreli,Gujarāt,train
g2_0248,Unnao,Uttar Pradesh,train
g2_0249,Rajsamand,Rājasthān,train
g0_0250,Ahmadnagar,Mahārāshtra,train
g2_0251,Moga,Punjab,train
g0_0252,Prakasam,Andhra Pradesh,val
g0_0253,Adilabad,Telangāna,val
g2_0254,Ambedkar Nagar,Uttar Pradesh,train
g1_0255,Vizianagaram,Andhra Pradesh,test
g0_0256,Yavatmal,Mahārāshtra,val
g0_0257,Coimbatore,Tamil Nādu,train
g0_0258,Guntur,Andhra Pradesh,test
g0_0259,Solapur,Mahārāshtra,test
g2_0260,Banas Kantha,Gujarāt,none
g0_0261,Jangaon,Telangāna,train
g2_0262,Tikamgarh,Madhya Pradesh,train
g1_0263,Koraput,Odisha,test
g1_0264,Vizianagaram,Andhra Pradesh,test
g0_0265,Buldana,Mahārāshtra,train
g0_0266,Amravati,Mahārāshtra,train
g2_0267,Barmer,Rājasthān,val
g2_0268,Kurukshetra,Haryāna,train
g3_0269,South Salmara-Mankachar,Assam,train
g0_0270,Nandurbar,Mahārāshtra,train
g3_0271,Ramgarh,Jhārkhand,train
g2_0272,Rewari,Haryāna,test
g2_0273,Rudraprayag,Uttarākhand,train
g0_0274,Raipur,Chhattīsgarh,train
g2_0275,Sehore,Madhya Pradesh,test
g2_0276,Nagaur,Rājasthān,test
g0_0277,Kallakurichi,Tamil Nādu,val
g2_0278,Muktsar,Punjab,train
g2_0279,Koriya,Chhattīsgarh,train
g2_0280,Jind,Haryāna,val
g0_0281,Karimnagar,Telangāna,train
g2_0282,Sawai Madhopur,Rājasthān,test
g0_0283,Mysore,Karnātaka,train
g3_0284,Bhojpur,Bihār,test
g0_0285,Chandrapur,Mahārāshtra,val
g2_0286,Jamnagar,Gujarāt,train
g0_0287,Tumkur,Karnātaka,val
g2_0288,Shahjahanpur,Uttar Pradesh,val
g0_0289,Davanagere,Karnātaka,train
g0_0290,Tumkur,Karnātaka,train
g2_0291,Jodhpur,Rājasthān,test
g3_0292,Baleshwar,Odisha,train
g2_0293,Vidisha,Madhya Pradesh,val
g0_0294,Anantapur,Andhra Pradesh,train
g3_0295,Murshidabad,West Bengal,train
g2_0296,Pali,Rājasthān,val
g0_0297,Bid,Mahārāshtra,train
g2_0298,Rewa,Madhya Pradesh,test
g2_0299,Saharanpur,Uttar Pradesh,train
g0_0300,Jalgaon,Mahārāshtra,train
g3_0301,Kushinagar,Uttar Pradesh,val
g0_0302,Chikkaballapura,Karnātaka,val
g0_0303,Siddipet,Telangāna,train
g3_0304,Dibrugarh,Assam,train
g0_0305,Raichur,Karnātaka,train
g0_0306,Prakasam,Andhra Pradesh,train
g2_0307,Ratlam,Madhya Pradesh,test
g0_0308,Ahmadnagar,Mahārāshtra,train
g2_0309,Bhilwara,Rājasthān,train
g0_0310,Kurnool,Andhra Pradesh,train
g2_0311,Jaisalmer,Rājasthān,train
g3_0312,Simdega,Jhārkhand,test
g0_0313,Nagpur,Mahārāshtra,train
g2_0314,Vadodara,Gujarāt,test
g2_0315,Jyotiba Phule Nagar,Uttar Pradesh,test
g2_0316,Jalor,Rājasthān,val
g2_0317,Kanpur Dehat,Uttar Pradesh,train
g0_0318,Suryapet,Telangāna,train
g0_0319,Yavatmal,Mahārāshtra,val
g0_0320,Kallakurichi,Tamil Nādu,val
g3_0321,Ballia,Uttar Pradesh,train
g0_0322,Palakkad,Kerala,train
g3_0323,Ranchi,Jhārkhand,train
g2_0324,Barmer,Rājasthān,val
g2_0325,Farrukhabad,Uttar Pradesh,train
g2_0326,Aravali,Gujarāt,test
g2_0327,Saharanpur,Uttar Pradesh,train
g0_0328,Raichur,Karnātaka,train
g3_0329,Bongaigaon,Assam,train
g0_0330,Pune,Mahārāshtra,train
g1_0331,Baudh,Odisha,train
g2_0332,Saharanpur,Uttar Pradesh,train
g0_0333,Nalgonda,Telangāna,train
g0_0334,Amreli,Gujarāt,train
g2_0335,Bundi,Rājasthān,test
g2_0336,Bhiwani,Haryāna,test
g3_0337,Raigarh,Mahārāshtra,train
g2_0338,Agra,Uttar Pradesh,test
g2_0339,Kurukshetra,Haryāna,train
g2_0340,Karauli,Rājasthān,test
g0_0341,Rangareddy,Telangāna,train
g0_0342,Hassan,Karnātaka,train
g0_0343,Nashik,Mahārāshtra,train
g2_0344,Chhatarpur,Madhya Pradesh,test
g2_0345,Banswara,Rājasthān,test
g3_0346,Ghazipur,Uttar Pradesh,train
g2_0347,Katni,Madhya Pradesh,train
g2_0348,Rewari,Haryāna,test
g0_0349,Palghar,Mahārāshtra,train
g0_0350,Solapur,Mahārāshtra,train
g0_0351,Erode,Tamil Nādu,train
g2_0352,Ganganagar,Rājasthān,train
g0_0353,Siddipet,Telangāna,train
g0_0354,Rajkot,Gujarāt,train
g0_0355,Gadchiroli,Mahārāshtra,train
g0_0356,Amreli,Gujarāt,train
g2_0357,Sabar Kantha,Gujarāt,train
g2_0358,Harda,Madhya Pradesh,test
g0_0359,Buldana,Mahārāshtra,train
g3_0360,Alipurduar,West Bengal,train
g0_0361,Amreli,Gujarāt,train
g3_0362,Mau,Uttar Pradesh,train
g2_0363,Banas Kantha,Gujarāt,train
g0_0364,Nalgonda,Telangāna,train
g0_0365,Nabarangapur,Odisha,train
g2_0366,Bhind,Madhya Pradesh,val
g2_0367,Singrauli,Madhya Pradesh,test
g2_0368,Pratapgarh,Uttar Pradesh,test
g3_0369,Murshidabad,West Bengal,train
g0_0370,Janjgir-Champa,Chhattīsgarh,train
g2_0371,Chhatarpur,Madhya Pradesh,val
g3_0372,Birbhum,West Bengal,train
g2_0373,Jhunjhunun,Rājasthān,test
g0_0374,Gulbarga,Karnātaka,train
g2_0375,Bilaspur,Chhattīsgarh,train
g0_0376,Jagtial,Telangāna,train
g2_0377,Katni,Madhya Pradesh,train
g2_0378,Saharanpur,Uttar Pradesh,train
g0_0379,Bagalkot,Karnātaka,train
g3_0380,Garhwa,Jhārkhand,val
g2_0381,Nagaur,Rājasthān,train
g0_0382,Ahmadnagar,Mahārāshtra,train
g2_0383,Budaun,Uttar Pradesh,train
g0_0384,Chikmagalur,Karnātaka,train
g2_0385,Nainital,Uttarākhand,test
g2_0386,Mahendragarh,Haryāna,test
g3_0387,Mirzapur,Uttar Pradesh,train
g2_0388,Banswara,Rājasthān,test
g0_0389,Haveri,Karnātaka,train
g2_0390,Jamnagar,Gujarāt,train
g0_0391,Chitradurga,Karnātaka,train
g2_0392,Faizabad,Uttar Pradesh,train
g2_0393,Lalitpur,Uttar Pradesh,val
g0_0394,Sangli,Mahārāshtra,val
g0_0395,Palakkad,Kerala,train
g2_0396,Mahisagar,Gujarāt,train
g3_0397,Khunti,Jhārkhand,test
g3_0398,Bankura,West Bengal,train
g2_0399,Ahmadabad,Gujarāt,test
g2_0400,Bundi,Rājasthān,test
g0_0401,Anantapur,Andhra Pradesh,none
g0_0402,Visakhapatnam,Andhra Pradesh,train
g3_0403,Jehanabad,Bihār,test
g2_0404,Balrampur,Uttar Pradesh,train
g3_0405,Nalbari,Assam,train
g2_0406,Bijnor,Uttar Pradesh,test
g3_0407,Balrampur,Uttar Pradesh,val
g0_0408,Tapi,Gujarāt,train
g0_0409,Chitradurga,Karnātaka,train
g2_0410,Vadodara,Gujarāt,test
g0_0411,Rangareddy,Telangāna,train
g2_0412,Khandwa (East Nimar),Madhya Pradesh,train
g3_0413,Ghazipur,Uttar Pradesh,train
g0_0414,Tumkur,Karnātaka,train
g2_0415,Nagaur,Rājasthān,train
g2_0416,Bareilly,Uttar Pradesh,train
g3_0417,Paschim Medinipur,West Bengal,train
g2_0418,Ratlam,Madhya Pradesh,test
g2_0419,Jabalpur,Madhya Pradesh,train
g2_0420,Ghaziabad,Uttar Pradesh,train
g0_0421,Kondagaon,Chhattīsgarh,train
g2_0422,Farrukhabad,Uttar Pradesh,train
g3_0423,Gorakhpur,Uttar Pradesh,train
g2_0424,Patiala,Punjab,val
g3_0425,Balrampur,Uttar Pradesh,val
g0_0426,Chittoor,Andhra Pradesh,test
g2_0427,Bhavnagar,Gujarāt,train
g2_0428,Hoshiarpur,Punjab,train
g2_0429,Allahabad,Uttar Pradesh,test
g1_0430,Ganjam,Odisha,train
g0_0431,Belgaum,Karnātaka,train
g2_0432,Churu,Rājasthān,train
g0_0433,Solapur,Mahārāshtra,val
g2_0434,Gonda,Uttar Pradesh,train
g2_0435,Ajmer,Rājasthān,train
g0_0436,Seoni,Madhya Pradesh,train
g2_0437,Vidisha,Madhya Pradesh,val
g2_0438,Bara Banki,Uttar Pradesh,train
g2_0439,Koriya,Chhattīsgarh,test
g2_0440,Bhind,Madhya Pradesh,val
g0_0441,Jalgaon,Mahārāshtra,train
g1_0442,Jajapur,Odisha,train
g2_0443,Agra,Uttar Pradesh,train
g2_0444,Ludhiana,Punjab,val
g3_0445,Barddhaman,West Bengal,train
g2_0446,Mahoba,Uttar Pradesh,train
g2_0447,Udhampur,Jammu and Kashmīr,train
g2_0448,Kachchh,Gujarāt,train
g0_0449,Perambalur,Tamil Nādu,test
g0_0450,Hassan,Karnātaka,train
g2_0451,Jaipur,Rājasthān,train
g3_0452,Bankura,West Bengal,train
g0_0453,Satara,Mahārāshtra,val
g2_0454,Jodhpur,Rājasthān,test
g3_0455,Chirang,Assam,train
g0_0456,Amravati,Mahārāshtra,val
g0_0457,Yadgir,Karnātaka,train
g2_0458,Jhunjhunun,Rājasthān,test
g0_0459,Kadapa(YSR),Andhra Pradesh,train
g2_0460,Nagaur,Rājasthān,train
g2_0461,Saharanpur,Uttar Pradesh,train
g0_0462,Nashik,Mahārāshtra,train
g2_0463,Jaipur,Rājasthān,test
g3_0464,Mirzapur,Uttar Pradesh,train
g2_0465,Mansa,Punjab,val
g0_0466,Khammam,Telangāna,train
g3_0467,Deoria,Uttar Pradesh,train
g2_0468,Anuppur,Madhya Pradesh,train
g0_0469,Kurnool,Andhra Pradesh,train
g2_0470,Bundi,Rājasthān,test
g0_0471,Ahmadnagar,Mahārāshtra,train
g2_0472,Hisar,Haryāna,val
g3_0473,Sivasagar,Assam,train
g1_0474,Vizianagaram,Andhra Pradesh,test
g2_0475,Harda,Madhya Pradesh,test
g0_0476,Solapur,Mahārāshtra,test
g3_0477,Maldah,West Bengal,train
g3_0478,Paschim Medinipur,West Bengal,train
g2_0479,Rajsamand,Rājasthān,train
g0_0480,Mancherial,Telangāna,train
g2_0481,Banas Kantha,Gujarāt,train
g1_0482,Rayagada,Odisha,test
g2_0483,Barmer,Rājasthān,val
g2_0484,Jhabua,Madhya Pradesh,train
g0_0485,Barwani,Madhya Pradesh,train
g0_0486,Kolhapur,Mahārāshtra,train
g2_0487,Jammu,Jammu and Kashmīr,train
g0_0488,Nandurbar,Mahārāshtra,train
g3_0489,Jashpur,Chhattīsgarh,train
g0_0490,Amreli,Gujarāt,train
g0_0491,Koppal,Karnātaka,train
g3_0492,Ranchi,Jhārkhand,test
g2_0493,Banda,Uttar Pradesh,test
g0_0494,Chhindwara,Madhya Pradesh,train
g1_0495,Kendrapara,Odisha,train
g0_0496,Kurnool,Andhra Pradesh,train
g2_0497,Rajgarh,Madhya Pradesh,val
g2_0498,Bikaner,Rājasthān,train
g2_0499,Indore,Madhya Pradesh,train
g0_0500,Bhandara,Mahārāshtra,train
g2_0501,Gaurella Pendra Marwahi,Chhattīsgarh,train
g0_0502,Ahmadnagar,Mahārāshtra,train
g3_0503,Lakhimpur,Assam,train
g3_0504,Purba Champaran,Bihār,val
g0_0505,Sangli,Mahārāshtra,val
g2_0506,Baran,Rājasthān,test
g0_0507,Rangareddy,Telangāna,train
g2_0508,Ujjain,Madhya Pradesh,train
g2_0509,Mandsaur,Madhya Pradesh,test
g3_0510,Deoria,Uttar Pradesh,train
g3_0511,Saraikela-Kharsawan,Jhārkhand,train
g0_0512,Raichur,Karnātaka,train
g0_0513,Mancherial,Telangāna,train
g2_0514,Patan,Gujarāt,train
g0_0515,Amravati,Mahārāshtra,val
g0_0516,Koraput,Odisha,test
g2_0517,Sabar Kantha,Gujarāt,test
g2_0518,Churu,Rājasthān,test
g3_0519,Ranchi,Jhārkhand,test
g0_0520,Nalgonda,Telangāna,train
g2_0521,Hanumangarh,Rājasthān,test
g2_0522,Bahraich,Uttar Pradesh,train
g2_0523,Panch Mahals,Gujarāt,test
g2_0524,Bhind,Madhya Pradesh,val
g2_0525,Amethi,Uttar Pradesh,train
g0_0526,Hingoli,Mahārāshtra,train
g0_0527,Narmada,Gujarāt,train
g0_0528,Nanded,Mahārāshtra,train
g2_0529,Jhunjhunun,Rājasthān,train
g1_0530,Mahasamund,Chhattīsgarh,test
g2_0531,Bikaner,Rājasthān,train
g2_0532,Seoni,Madhya Pradesh,train
g0_0533,Amravati,Mahārāshtra,val
g3_0534,Dhubri,Assam,train
g0_0535,Burhanpur,Madhya Pradesh,train
g0_0536,Ramanagara,Karnātaka,train
g3_0537,Katihar,Bihār,train
g2_0538,Sirohi,Rājasthān,val
g0_0539,Yavatmal,Mahārāshtra,val
g0_0540,Krishnagiri,Tamil Nādu,train
g2_0541,Palwal,Haryāna,train
g0_0542,Nashik,Mahārāshtra,train
g2_0543,Kanpur Dehat,Uttar Pradesh,val
g3_0544,Dhanbad,Jhārkhand,train
g2_0545,Hardoi,Uttar Pradesh,train
g2_0546,Bhilwara,Rājasthān,train
g0_0547,Mandya,Karnātaka,train
g2_0548,Guna,Madhya Pradesh,val
g0_0549,Narmada,Gujarāt,train
g0_0550,Nalgonda,Telangāna,train
g3_0551,Bhojpur,Bihār,test
g3_0552,Giridih,Jhārkhand,train
g2_0553,Tarn Taran,Punjab,train
g2_0554,Palwal,Haryāna,train
g0_0555,Akola,Mahārāshtra,val
g2_0556,Chitrakoot,Uttar Pradesh,test
g3_0557,Darjiling,West Bengal,train
g3_0558,Nalanda,Bihār,val
g2_0559,Harda,Madhya Pradesh,test
g0_0560,Solapur,Mahārāshtra,val
g2_0561,Budaun,Uttar Pradesh,train
g0_0562,Amravati,Mahārāshtra,val
g2_0563,Leh(Ladakh),Ladākh,test
g3_0564,Mayurbhanj,Odisha,train
g2_0565,Mahesana,Gujarāt,train
g0_0566,Namakkal,Tamil Nādu,test
g2_0567,Mahoba,Uttar Pradesh,test
g1_0568,Ganjam,Odisha,train
g2_0569,Hisar,Haryāna,val
g1_0570,Kalahandi,Odisha,train
g1_0571,Cuttack,Odisha,train
g0_0572,Peddapalli,Telangāna,train
g3_0573,Khagaria,Bihār,val
g2_0574,Dohad,Gujarāt,train
g2_0575,Harda,Madhya Pradesh,test
g2_0576,Rajkot,Gujarāt,test
g2_0577,Seoni,Madhya Pradesh,train
g0_0578,Chhindwara,Madhya Pradesh,train
g2_0579,Hanumangarh,Rājasthān,val
g0_0580,Buldana,Mahārāshtra,train
g3_0581,Ghazipur,Uttar Pradesh,train
g3_0582,Purbi Singhbhum,Jhārkhand,train
g3_0583,Jehanabad,Bihār,test
g3_0584,Supaul,Bihār,train
g0_0585,Chitradurga,Karnātaka,train
g0_0586,Bijapur,Karnātaka,test
g0_0587,Mancherial,Telangāna,train
g2_0588,Jodhpur,Rājasthān,test
g1_0589,Vizianagaram,Andhra Pradesh,test
g0_0590,Rajkot,Gujarāt,test
g2_0591,Jhalawar,Rājasthān,train
g2_0592,Bhiwani,Haryāna,val
g0_0593,Bid,Mahārāshtra,train
g2_0594,Vadodara,Gujarāt,test
g0_0595,Dhule,Mahārāshtra,train
g0_0596,Kondagaon,Chhattīsgarh,train
g0_0597,Jalna,Mahārāshtra,train
g0_0598,Nanded,Mahārāshtra,train
g3_0599,Sonbhadra,Uttar Pradesh,val
g0_0600,Chitradurga,Karnātaka,val
g2_0601,Nagaur,Rājasthān,train
g2_0602,Tonk,Rājasthān,train
g2_0603,Bikaner,Rājasthān,train
g3_0604,Lakhisarai,Bihār,val
g3_0605,Cachar,Assam,train
g0_0606,Uttar Bastar Kanker,Chhattīsgarh,train
g3_0607,Dhanbad,Jhārkhand,train
g2_0608,Kota,Rājasthān,test
g2_0609,Gaurella Pendra Marwahi,Chhattīsgarh,train
g3_0610,Latehar,Jhārkhand,test
g2_0611,Gandhinagar,Gujarāt,test
g2_0612,Kachchh,Gujarāt,train
g0_0613,Solapur,Mahārāshtra,train
g3_0614,Munger,Bihār,val
g3_0615,Korba,Chhattīsgarh,train
g2_0616,Dindori,Madhya Pradesh,train
g2_0617,Anand,Gujarāt,test
g2_0618,Balaghat,Madhya Pradesh,train
g1_0619,Debagarh,Odisha,train
g0_0620,Amravati,Mahārāshtra,val
g1_0621,Baudh,Odisha,train
g3_0622,Banka,Bihār,train
g1_0623,Kalahandi,Odisha,train
g1_0624,Kalahandi,Odisha,train
g0_0625,Uttar Bastar Kanker,Chhattīsgarh,train
